description,category,topic
Gun Violence,Public Safety,Additional Data
Kids Entering Detention Centers,Public Safety,Additional Data
LMPD Mental Health and Social Services Spending,Public Safety,Additional Data
Breakdown of Public Safety Spending,Public Safety,Additional Data
Police Officer and Related Staff Salaries,Public Safety,Additional Data
Professional Standards Unit Investigations,Public Safety,Additional Data
Correctional Officer Data,Public Safety,Additional Data
Inmate Deaths,Public Safety,Additional Data
Other Data?,Public Safety,Additional Data
Racial Inclusion,Public Safety,Inclusive Economic Indicators
Geographic Inclusion,Public Safety,Inclusive Economic Indicators
